T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
1e-09	-80.5015	-1.28823e-06	-3.25357e-05	-0.00454646	5.0883e-05	4.44972e-05	-0.00943508	0.000175323	-0.00536939	0.000161782	-5.53765e-05	0.000659802	0	2.90991e-06	-5.00853e-05	-0.00389538	-0.00157142	9.74047e-05
0.01	-75.6761	-1.13163e-05	-8.087e-05	-0.00396761	0.000252221	0.000202963	-0.00777113	0.00177539	-0.00496637	0.000174925	-4.55193e-05	0.00065983	0	9.53341e-06	-4.83891e-05	-0.00376644	-0.0015193	0.000319369
0.02	-72.0185	-5.3683e-05	-0.000164482	-0.00352736	0.000529419	0.000417508	-0.00650154	0.00261746	-0.00466088	0.000184571	-3.82989e-05	0.000659855	0	1.45245e-05	-4.70322e-05	-0.0036687	-0.0014798	0.000487618
0.03	-69.2014	-0.000171773	-0.000283977	-0.00318676	0.000856186	0.000665965	-0.00552208	0.00306926	-0.00442558	0.000191761	-3.28616e-05	0.000659878	0	1.83366e-05	-4.59469e-05	-0.00359342	-0.00144937	0.000617206
0.04	-66.9949	-0.000413647	-0.000435299	-0.00291852	0.00120769	0.000930892	-0.00475482	0.00331709	-0.00424129	0.000197226	-2.86673e-05	0.000659899	0	2.1292e-05	-4.50661e-05	-0.00353445	-0.00142554	0.000718704
0.05	-65.2221	-0.000812708	-0.000613196	-0.00270171	0.00156801	0.00120104	-0.00413873	0.00345636	-0.00409322	0.000201501	-2.53331e-05	0.00065992	0	2.36387e-05	-4.43323e-05	-0.00348707	-0.0014064	0.00080025
0.06	-63.7419	-0.00138789	-0.00081588	-0.00251975	0.00193293	0.00147256	-0.00362502	0.0035362	-0.00396959	0.000204988	-2.25704e-05	0.000659941	0	2.55733e-05	-4.36984e-05	-0.00344752	-0.00139041	0.000868338
0.07	-62.4389	-0.00216708	-0.00104851	-0.00235923	0.00230964	0.00174866	-0.003174	0.00358182	-0.00386075	0.000207993	-2.01526e-05	0.000659961	0	2.72552e-05	-4.31251e-05	-0.00341269	-0.00137634	0.000928274
0.08	-61.2089	-0.00323276	-0.00132781	-0.00220826	0.00271817	0.00203994	-0.00275014	0.00360582	-0.00375802	0.000210773	-1.78809e-05	0.000659982	0	2.88267e-05	-4.25774e-05	-0.00337981	-0.00136306	0.00098485
0.09	-59.9282	-0.0048389	-0.0016965	-0.00205293	0.00320263	0.00236909	-0.00231172	0.00361316	-0.00365104	0.000213608	-1.55249e-05	0.000660003	0	3.04548e-05	-4.20133e-05	-0.00334558	-0.00134922	0.00104376
0.1	-58.3537	-0.0079544	-0.00228852	-0.00186644	0.00388405	0.00279249	-0.00177763	0.00360046	-0.00351952	0.000217008	-1.26395e-05	0.000660025	0	3.24633e-05	-4.13514e-05	-0.00330349	-0.00133222	0.00111619
0.11	-55.4182	-0.0208352	-0.00395619	-0.00153184	0.00537574	0.00355023	-0.000793085	0.00352452	-0.00327432	0.000223088	-7.28599e-06	0.00066005	0	3.62696e-05	-4.02351e-05	-0.00322502	-0.00130052	0.00125122
0.12	47.2851	-0.000222253	-1.54603	0.0546768	1.2011	0.303425	0.0324217	0.00114576	0.0053038	0.000297441	0.000299888	0.00066196	0	0.000167918	-5.80962e-06	-0.000480354	-0.000191321	0.00597548
0.13	37.9192	-6.64521e-09	-1.7072	0.184546	0.848217	0.665754	0.0269074	0.00120196	0.00452112	0.00029573	0.000248811	0.000668314	0	0.000142626	-8.08928e-06	-0.000730614	-0.000292473	0.00554421
0.14	30.3387	-1.25191e-08	-1.53323	0.23325	0.590191	0.706198	0.023073	0.00125895	0.0038876	0.000294121	0.00021312	0.000674079	0	0.000125031	-9.66588e-06	-0.000933165	-0.000374342	0.00519511
0.15	21.8819	-2.62662e-08	-1.28963	0.225346	0.400206	0.669242	0.019711	0.00133449	0.00318096	0.000292009	0.000178368	0.000678906	0	0.000109971	-1.14159e-05	-0.00115913	-0.000465675	0.00480577
0.16	11.5415	-7.44167e-08	-1.02336	0.189454	0.255179	0.595559	0.0163817	0.0014408	0.00231705	0.000288814	0.000141914	0.000682792	0	9.55407e-05	-1.3632e-05	-0.00143543	-0.000577352	0.00432984
0.17	-1.32731	-3.16706e-07	-0.745716	0.141117	0.142023	0.492614	0.0128009	0.00158851	0.00124205	0.000283486	0.000103881	0.000685741	0	8.04967e-05	-1.64924e-05	-0.00177928	-0.000716335	0.00373766
0.18	-15.622	-1.68028e-06	-0.498506	0.0893439	0.063467	0.376511	0.00912278	0.00179994	4.80072e-05	0.000274913	6.86566e-05	0.000687795	0	6.53501e-05	-1.97363e-05	-0.00216123	-0.000870717	0.00307996
0.19	-49.0515	-2.08788e-06	-0.0036646	-0.0257467	0.0125423	0.166566	0.000957439	0.00321495	-0.00274412	0.000235193	1.92192e-06	0.000688771	0	3.24508e-05	-2.76636e-05	-0.00305447	-0.00123176	0.0015421
0.2	-59.8471	-7.50941e-07	-0.000657463	-0.0621762	0.000590237	0.0518804	-0.00165007	0.00361321	-0.00364579	0.000213895	-1.82744e-05	0.000689007	0	2.19323e-05	-3.01826e-05	-0.00334292	-0.00134835	0.00104548
0.21	-55.215	-1.2067e-05	-0.00211733	-0.0461948	0.00117545	0.0315267	-0.000530939	0.00351889	-0.00325892	0.0002236	-9.59449e-06	0.000689238	0	2.63199e-05	-2.89746e-05	-0.00321914	-0.00129832	0.00125854
0.22	-51.4201	-6.40215e-05	-0.00493426	-0.0331889	0.00217734	0.0241233	0.000380376	0.00334666	-0.00294198	0.000230919	-2.53624e-06	0.000689416	0	2.98669e-05	-2.7965e-05	-0.00311774	-0.00125734	0.0014331
0.23	-48.8606	-0.0001539	-0.00866294	-0.0244489	0.00341975	0.020439	0.00099008	0.00320392	-0.00272821	0.000235534	2.2143e-06	0.000689564	0	3.21997e-05	-2.72493e-05	-0.00304934	-0.00122969	0.00155083
0.24	-47.0195	-0.000241026	-0.0129974	-0.0181958	0.00476698	0.0184577	0.00142398	0.00309453	-0.00257445	0.000238693	5.63259e-06	0.000689699	0	3.38233e-05	-2.67034e-05	-0.00300014	-0.00120981	0.00163551
0.25	-45.5314	-0.000297331	-0.0180258	-0.0131863	0.0061388	0.0174723	0.00177049	0.00300434	-0.00245016	0.000241152	8.39932e-06	0.00068983	0	3.50925e-05	-2.624e-05	-0.00296038	-0.00119374	0.00170396
0.26	-44.1172	-0.000319154	-0.0244493	-0.00849158	0.00753987	0.0172008	0.00209631	0.00291847	-0.00233205	0.000243409	1.10345e-05	0.000689966	0	3.62745e-05	-2.5793e-05	-0.00292258	-0.00117847	0.001769
0.27	-42.3686	-0.000316701	-0.0350351	-0.00279491	0.0091453	0.0176543	0.00249724	0.00281353	-0.00218601	0.000246096	1.43053e-05	0.000690114	0	3.77519e-05	-2.52656e-05	-0.00287586	-0.00115958	0.00184943
0.28	-38.3813	-0.000290135	-0.0741316	0.00994604	0.012104	0.0198292	0.00341643	0.00258628	-0.00185299	0.000251802	2.18382e-05	0.000690311	0	4.12927e-05	-2.42105e-05	-0.00276931	-0.00111652	0.00203284
0.29	47.268	-2.67155e-09	-1.06257	0.324661	0.4212	0.336596	0.0225928	0.0011458	0.00530038	0.000297454	0.000299112	0.000692406	0	0.000117018	-4.05392e-06	-0.000480759	-0.000191505	0.00597264
0.3	35.3637	-1.19822e-10	-1.27947	0.388945	0.287825	0.610426	0.0182931	0.00121991	0.00430589	0.000295229	0.00023565	0.000695957	0	9.76546e-05	-6.18917e-06	-0.000798844	-0.000320072	0.0054248
0.31	25.5217	-3.40868e-10	-1.17467	0.372873	0.194196	0.619874	0.015329	0.00130039	0.00348364	0.000292981	0.000192144	0.000699489	0	8.44031e-05	-7.75812e-06	-0.00106182	-0.000426366	0.00497183
0.32	14.4152	-1.13358e-09	-0.977256	0.31253	0.124464	0.563018	0.0126337	0.0014098	0.00255581	0.000289799	0.000150841	0.000702542	0	7.2698e-05	-9.52945e-06	-0.00135859	-0.000546315	0.00446072
