T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
1e-09	-80.5015	-1.28823e-06	-2.60286e-05	-0.00454646	5.0883e-05	4.44972e-05	-0.00943508	0.000175323	-0.00536939	0.000161782	-5.53765e-05	0.000659802	0	2.90991e-06	-5.00853e-05	-0.00389538	-0.00157142	9.74047e-05
0.001	-79.9539	-1.72153e-06	-2.81792e-05	-0.00448085	6.67075e-05	5.67209e-05	-0.00924734	0.000386105	-0.00532365	0.000163292	-5.42367e-05	0.000659805	0	3.66258e-06	-4.98993e-05	-0.00388074	-0.0015655	0.000122594
0.002	-79.4223	-2.18484e-06	-3.12353e-05	-0.00441714	8.38061e-05	6.99669e-05	-0.00906474	0.000583505	-0.00527925	0.000164754	-5.31356e-05	0.000659808	0	4.39318e-06	-4.97169e-05	-0.00386654	-0.00155976	0.000147048
0.003	-78.906	-2.75014e-06	-3.4534e-05	-0.00435525	0.000101817	8.412e-05	-0.00888714	0.000768395	-0.00523614	0.00016617	-5.20715e-05	0.000659811	0	5.10247e-06	-4.95382e-05	-0.00385274	-0.00155419	0.000170794
0.004	-78.4046	-3.4349e-06	-3.80708e-05	-0.00429513	0.000120725	9.90816e-05	-0.0087144	0.000941591	-0.00519426	0.000167541	-5.10425e-05	0.000659814	0	5.7912e-06	-4.93632e-05	-0.00383935	-0.00154877	0.000193858
0.005	-77.9175	-4.25866e-06	-4.18527e-05	-0.0042367	0.000140516	0.000114779	-0.00854637	0.00110386	-0.00515357	0.000168869	-5.00471e-05	0.000659816	0	6.46007e-06	-4.91919e-05	-0.00382633	-0.00154351	0.000216265
0.006	-77.4442	-5.24313e-06	-4.58866e-05	-0.0041799	0.000161172	0.000131161	-0.00838292	0.0012559	-0.00511404	0.000170156	-4.90838e-05	0.000659819	0	7.10976e-06	-4.90243e-05	-0.00381368	-0.0015384	0.000238039
0.007	-76.9841	-6.41224e-06	-5.01787e-05	-0.00412468	0.000182675	0.000148188	-0.0082239	0.0013984	-0.00507561	0.000171403	-4.81513e-05	0.000659822	0	7.74093e-06	-4.88604e-05	-0.00380139	-0.00153343	0.000259203
0.008	-76.5368	-7.79225e-06	-5.47351e-05	-0.00407098	0.000205004	0.000165828	-0.00806918	0.00153197	-0.00503826	0.000172611	-4.72481e-05	0.000659825	0	8.35421e-06	-4.87001e-05	-0.00378944	-0.0015286	0.000279776
0.009	-76.102	-9.41177e-06	-5.9561e-05	-0.00401875	0.000228139	0.000184055	-0.00791863	0.00165719	-0.00500193	0.000173782	-4.63731e-05	0.000659827	0	8.95018e-06	-4.85434e-05	-0.00377781	-0.0015239	0.000299781
0.01	-75.679	-1.13018e-05	-6.46611e-05	-0.00396794	0.000252055	0.000202845	-0.00777213	0.0017746	-0.00496661	0.000174917	-4.55251e-05	0.00065983	0	9.52944e-06	-4.83901e-05	-0.00376651	-0.00151933	0.000319236
0.011	-75.2677	-1.34956e-05	-7.00397e-05	-0.0039185	0.00027673	0.000222175	-0.00762956	0.00188472	-0.00493225	0.000176018	-4.4703e-05	0.000659833	0	1.00925e-05	-4.82403e-05	-0.00375552	-0.00151489	0.000338159
0.012	-74.8675	-1.60289e-05	-7.57004e-05	-0.00387039	0.000302139	0.000242024	-0.00749078	0.00198801	-0.00489883	0.000177085	-4.39057e-05	0.000659835	0	1.06399e-05	-4.80939e-05	-0.00374483	-0.00151057	0.000356569
0.013	-74.4781	-1.89395e-05	-8.16462e-05	-0.00382356	0.000328255	0.00026237	-0.0073557	0.00208491	-0.0048663	0.00017812	-4.31324e-05	0.000659838	0	1.11722e-05	-4.79507e-05	-0.00373442	-0.00150636	0.000374481
0.014	-74.0991	-2.22676e-05	-8.78794e-05	-0.00377797	0.000355053	0.000283193	-0.00722419	0.00217585	-0.00483465	0.000179123	-4.2382e-05	0.00065984	0	1.16899e-05	-4.78108e-05	-0.00372429	-0.00150227	0.000391912
0.015	-73.7303	-2.60551e-05	-9.44018e-05	-0.00373358	0.000382506	0.00030447	-0.00709616	0.00226119	-0.00480385	0.000180097	-4.16537e-05	0.000659843	0	1.21933e-05	-4.76741e-05	-0.00371444	-0.00149829	0.000408878
0.016	-73.3713	-3.03461e-05	-0.000101215	-0.00369035	0.000410584	0.000326181	-0.00697149	0.0023413	-0.00477386	0.000181041	-4.09466e-05	0.000659845	0	1.2683e-05	-4.75404e-05	-0.00370485	-0.00149441	0.000425393
0.017	-73.0217	-3.51861e-05	-0.000108318	-0.00364825	0.000439262	0.000348306	-0.00685009	0.00241651	-0.00474467	0.000181958	-4.02601e-05	0.000659848	0	1.31594e-05	-4.74098e-05	-0.00369551	-0.00149063	0.00044147
0.018	-72.6814	-4.06223e-05	-0.000115712	-0.00360724	0.000468509	0.000370822	-0.00673186	0.00248714	-0.00471625	0.000182847	-3.95932e-05	0.00065985	0	1.36228e-05	-4.72821e-05	-0.00368641	-0.00148696	0.000457125
0.019	-72.35	-4.67029e-05	-0.000123397	-0.00356729	0.000498298	0.00039371	-0.00661671	0.00255349	-0.00468857	0.000183711	-3.89454e-05	0.000659852	0	1.40738e-05	-4.71573e-05	-0.00367756	-0.00148338	0.00047237
0.02	-72.0272	-5.34774e-05	-0.00013137	-0.00352836	0.000528599	0.000416949	-0.00650453	0.00261581	-0.00466161	0.000184549	-3.83158e-05	0.000659855	0	1.45126e-05	-4.70353e-05	-0.00366893	-0.00147989	0.000487218
0.021	-71.7128	-6.09957e-05	-0.000139631	-0.00349043	0.000559384	0.000440517	-0.00639525	0.00267437	-0.00463535	0.000185362	-3.7704e-05	0.000659857	0	1.49397e-05	-4.6916e-05	-0.00366053	-0.0014765	0.00050168
0.022	-71.4066	-6.93083e-05	-0.000148176	-0.00345345	0.000590624	0.000464396	-0.00628879	0.00272941	-0.00460977	0.000186152	-3.71092e-05	0.00065986	0	1.53554e-05	-4.67993e-05	-0.00365234	-0.00147319	0.000515769
0.023	-71.1081	-7.84657e-05	-0.000157004	-0.00341741	0.000622292	0.000488565	-0.00618504	0.00278115	-0.00458484	0.000186919	-3.65309e-05	0.000659862	0	1.57601e-05	-4.66853e-05	-0.00364437	-0.00146997	0.000529496
0.024	-70.8174	-8.85184e-05	-0.00016611	-0.00338228	0.000654358	0.000513005	-0.00608394	0.00282979	-0.00456055	0.000187665	-3.59684e-05	0.000659864	0	1.61541e-05	-4.65737e-05	-0.0036366	-0.00146683	0.000542872
0.025	-70.534	-9.95163e-05	-0.000175491	-0.00334802	0.000686797	0.000537696	-0.0059854	0.00287554	-0.00453689	0.000188389	-3.54213e-05	0.000659866	0	1.65376e-05	-4.64646e-05	-0.00362903	-0.00146377	0.000555908
0.026	-70.2577	-0.000111509	-0.000185144	-0.0033146	0.00071958	0.000562619	-0.00588935	0.00291857	-0.00451381	0.000189092	-3.48889e-05	0.000659869	0	1.69112e-05	-4.63579e-05	-0.00362164	-0.00146078	0.000568614
0.027	-69.9885	-0.000124543	-0.000195063	-0.00328201	0.000752681	0.000587758	-0.00579571	0.00295905	-0.00449132	0.000189775	-3.43709e-05	0.000659871	0	1.7275e-05	-4.62535e-05	-0.00361445	-0.00145788	0.000581001
0.028	-69.7259	-0.000138668	-0.000205245	-0.00325022	0.000786074	0.000613094	-0.0057044	0.00299715	-0.0044694	0.00019044	-3.38666e-05	0.000659873	0	1.76293e-05	-4.61514e-05	-0.00360743	-0.00145504	0.000593077
0.029	-69.4699	-0.000153926	-0.000215683	-0.0032192	0.000819736	0.00063861	-0.00561536	0.00303301	-0.00444801	0.000191086	-3.33756e-05	0.000659875	0	1.79745e-05	-4.60514e-05	-0.00360059	-0.00145227	0.000604854
0.03	-69.2202	-0.000170363	-0.000226374	-0.00318893	0.000853641	0.000664289	-0.00552852	0.00306677	-0.00442716	0.000191714	-3.28975e-05	0.000659878	0	1.83109e-05	-4.59535e-05	-0.00359392	-0.00144958	0.00061634
0.031	-68.9766	-0.00018802	-0.000237312	-0.00315939	0.000887767	0.000690116	-0.00544381	0.00309856	-0.00440681	0.000192325	-3.24319e-05	0.00065988	0	1.86386e-05	-4.58577e-05	-0.00358741	-0.00144695	0.000627545
0.032	-68.739	-0.000206935	-0.00024849	-0.00313055	0.000922092	0.000716075	-0.00536116	0.0031285	-0.00438696	0.000192919	-3.19782e-05	0.000659882	0	1.89581e-05	-4.57639e-05	-0.00358106	-0.00144438	0.000638476
0.033	-68.5071	-0.000227146	-0.000259905	-0.00310238	0.000956594	0.000742153	-0.0052805	0.00315672	-0.00436759	0.000193497	-3.15361e-05	0.000659884	0	1.92695e-05	-4.5672e-05	-0.00357486	-0.00144188	0.000649144
0.034	-68.2807	-0.000248688	-0.000271551	-0.00307488	0.000991253	0.000768334	-0.00520178	0.0031833	-0.00434869	0.00019406	-3.11051e-05	0.000659886	0	1.95731e-05	-4.5582e-05	-0.00356881	-0.00143943	0.000659556
0.035	-68.0597	-0.000271592	-0.000283421	-0.00304801	0.00102605	0.000794607	-0.00512493	0.00320837	-0.00433023	0.000194608	-3.06849e-05	0.000659888	0	1.98692e-05	-4.54938e-05	-0.00356291	-0.00143705	0.00066972
0.036	-67.844	-0.000295888	-0.00029551	-0.00302176	0.00106097	0.000820959	-0.00504988	0.003232	-0.00431221	0.000195141	-3.02751e-05	0.00065989	0	2.01579e-05	-4.54074e-05	-0.00355714	-0.00143471	0.000679646
0.037	-67.6332	-0.000321602	-0.000307814	-0.0029961	0.00109599	0.000847377	-0.00497659	0.00325428	-0.00429461	0.000195661	-2.98754e-05	0.000659893	0	2.04397e-05	-4.53226e-05	-0.00355151	-0.00143244	0.00068934
0.038	-67.4274	-0.000348759	-0.000320327	-0.00297102	0.0011311	0.000873852	-0.00490499	0.0032753	-0.00427741	0.000196167	-2.94853e-05	0.000659895	0	2.07146e-05	-4.52395e-05	-0.00354601	-0.00143022	0.00069881
0.039	-67.2262	-0.000377381	-0.000333043	-0.00294649	0.00116629	0.000900373	-0.00483503	0.00329514	-0.00426061	0.00019666	-2.91045e-05	0.000659897	0	2.09829e-05	-4.5158e-05	-0.00354063	-0.00142804	0.000708064
0.04	-67.0295	-0.000407487	-0.000345959	-0.0029225	0.00120153	0.00092693	-0.00476664	0.00331386	-0.00424419	0.000197141	-2.87327e-05	0.000659899	0	2.12449e-05	-4.50781e-05	-0.00353538	-0.00142592	0.00071711
0.041	-66.8373	-0.000439093	-0.000359069	-0.00289903	0.00123683	0.000953516	-0.00469979	0.00333153	-0.00422813	0.00019761	-2.83696e-05	0.000659901	0	2.15007e-05	-4.49996e-05	-0.00353024	-0.00142384	0.000725954
0.042	-66.6492	-0.000472214	-0.000372369	-0.00287607	0.00127216	0.000980122	-0.0046344	0.00334822	-0.00421242	0.000198068	-2.80148e-05	0.000659903	0	2.17506e-05	-4.49226e-05	-0.00352521	-0.00142181	0.000734603
0.043	-66.4653	-0.000506862	-0.000385855	-0.00285358	0.00130752	0.00100674	-0.00457044	0.00336398	-0.00419706	0.000198514	-2.7668e-05	0.000659905	0	2.19947e-05	-4.48469e-05	-0.0035203	-0.00141982	0.000743065
0.044	-66.2852	-0.000543049	-0.000399523	-0.00283156	0.0013429	0.00103336	-0.00450785	0.00337887	-0.00418202	0.00019895	-2.7329e-05	0.000659907	0	2.22334e-05	-4.47726e-05	-0.00351549	-0.00141788	0.000751346
0.045	-66.109	-0.000580782	-0.00041337	-0.00280999	0.0013783	0.00105999	-0.00444658	0.00339294	-0.0041673	0.000199375	-2.69974e-05	0.000659909	0	2.24667e-05	-4.46996e-05	-0.00351078	-0.00141598	0.000759452
0.046	-65.9364	-0.000620068	-0.000427392	-0.00278886	0.0014137	0.00108661	-0.00438659	0.00340624	-0.00415289	0.000199791	-2.6673e-05	0.000659911	0	2.26949e-05	-4.46278e-05	-0.00350617	-0.00141411	0.00076739
0.047	-65.7674	-0.000660914	-0.000441588	-0.00276814	0.0014491	0.00111322	-0.00432782	0.00341882	-0.00413877	0.000200197	-2.63555e-05	0.000659913	0	2.29182e-05	-4.45573e-05	-0.00350165	-0.00141229	0.000775167
0.048	-65.6017	-0.000703324	-0.000455954	-0.00274782	0.0014845	0.00113982	-0.00427023	0.00343071	-0.00412493	0.000200594	-2.60445e-05	0.000659915	0	2.31367e-05	-4.44878e-05	-0.00349722	-0.0014105	0.000782788
0.049	-65.4393	-0.000747302	-0.000470489	-0.00272789	0.00151989	0.00116641	-0.00421378	0.00344195	-0.00411137	0.000200983	-2.57399e-05	0.000659917	0	2.33506e-05	-4.44195e-05	-0.00349288	-0.00140874	0.000790259
0.05	-65.28	-0.00079285	-0.000485192	-0.00270833	0.00155528	0.00119298	-0.00415843	0.00345259	-0.00409806	0.000201363	-2.54415e-05	0.000659919	0	2.35601e-05	-4.43523e-05	-0.00348862	-0.00140702	0.000797586
0.051	-65.1237	-0.000839971	-0.00050006	-0.00268913	0.00159066	0.00121952	-0.00410412	0.00346265	-0.00408501	0.000201735	-2.51488e-05	0.000659921	0	2.37654e-05	-4.42861e-05	-0.00348445	-0.00140534	0.000804774
0.052	-64.9703	-0.000888668	-0.000515095	-0.00267027	0.00162603	0.00124605	-0.00405083	0.00347217	-0.0040722	0.000202099	-2.48618e-05	0.000659923	0	2.39667e-05	-4.42208e-05	-0.00348035	-0.00140368	0.00081183
0.053	-64.8197	-0.000938943	-0.000530295	-0.00265174	0.00166139	0.00127256	-0.0039985	0.00348119	-0.00405962	0.000202456	-2.45802e-05	0.000659925	0	2.4164e-05	-4.41565e-05	-0.00347632	-0.00140205	0.000818759
0.054	-64.6717	-0.000990799	-0.000545662	-0.00263353	0.00169674	0.00129904	-0.0039471	0.00348972	-0.00404726	0.000202806	-2.43037e-05	0.000659927	0	2.43577e-05	-4.40932e-05	-0.00347237	-0.00140045	0.000825565
0.055	-64.5263	-0.00104424	-0.000561195	-0.00261562	0.0017321	0.00132551	-0.00389659	0.00349779	-0.00403511	0.00020315	-2.40321e-05	0.000659929	0	2.45477e-05	-4.40306e-05	-0.00346848	-0.00139888	0.000832254
0.056	-64.3833	-0.00109927	-0.000576896	-0.002598	0.00176745	0.00135196	-0.00384694	0.00350543	-0.00402317	0.000203486	-2.37653e-05	0.000659931	0	2.47343e-05	-4.3969e-05	-0.00346466	-0.00139734	0.000838832
0.057	-64.2427	-0.00115589	-0.000592768	-0.00258066	0.00180281	0.00137839	-0.0037981	0.00351267	-0.00401142	0.000203817	-2.3503e-05	0.000659933	0	2.49176e-05	-4.39081e-05	-0.0034609	-0.00139582	0.000845302
0.058	-64.1042	-0.00121412	-0.000608812	-0.00256358	0.00183818	0.00140481	-0.00375004	0.00351952	-0.00399985	0.000204142	-2.32449e-05	0.000659935	0	2.50978e-05	-4.3848e-05	-0.0034572	-0.00139433	0.000851671
0.059	-63.9679	-0.00127396	-0.000625032	-0.00254676	0.00187357	0.00143121	-0.00370272	0.00352601	-0.00398847	0.000204461	-2.2991e-05	0.000659937	0	2.5275e-05	-4.37886e-05	-0.00345356	-0.00139285	0.000857941
0.06	-63.8336	-0.00133542	-0.00064143	-0.00253018	0.00190898	0.00145761	-0.00365612	0.00353215	-0.00397725	0.000204774	-2.2741e-05	0.000659939	0	2.54493e-05	-4.37299e-05	-0.00344997	-0.0013914	0.000864119
0.061	-63.7012	-0.00139851	-0.000658011	-0.00251383	0.00194443	0.001484	-0.00361019	0.00353796	-0.00396619	0.000205083	-2.24947e-05	0.000659941	0	2.56209e-05	-4.36718e-05	-0.00344643	-0.00138997	0.000870208
0.062	-63.5707	-0.00146325	-0.000674781	-0.0024977	0.00197992	0.0015104	-0.00356491	0.00354346	-0.00395529	0.000205386	-2.22519e-05	0.000659943	0	2.57898e-05	-4.36144e-05	-0.00344294	-0.00138856	0.000876213
0.063	-63.4418	-0.00152966	-0.000691742	-0.00248178	0.00201546	0.0015368	-0.00352023	0.00354866	-0.00394453	0.000205686	-2.20124e-05	0.000659945	0	2.59564e-05	-4.35576e-05	-0.0034395	-0.00138717	0.000882139
0.064	-63.3147	-0.00159777	-0.000708903	-0.00246606	0.00205106	0.00156321	-0.00347614	0.00355358	-0.00393391	0.00020598	-2.17762e-05	0.000659947	0	2.61206e-05	-4.35013e-05	-0.0034361	-0.0013858	0.000887988
0.065	-63.189	-0.00166758	-0.000726269	-0.00245053	0.00208674	0.00158964	-0.0034326	0.00355823	-0.00392341	0.000206271	-2.15429e-05	0.000659949	0	2.62826e-05	-4.34456e-05	-0.00343274	-0.00138444	0.000893767
0.066	-63.0649	-0.00173915	-0.000743847	-0.00243518	0.0021225	0.00161609	-0.00338958	0.00356263	-0.00391304	0.000206557	-2.13125e-05	0.000659951	0	2.64424e-05	-4.33903e-05	-0.00342942	-0.0013831	0.000899479
0.067	-62.9421	-0.00181249	-0.000761646	-0.00241999	0.00215837	0.00164258	-0.00334704	0.00356678	-0.00390279	0.00020684	-2.10847e-05	0.000659953	0	2.66004e-05	-4.33356e-05	-0.00342614	-0.00138177	0.000905127
0.068	-62.8206	-0.00188766	-0.000779674	-0.00240496	0.00219434	0.0016691	-0.00330496	0.00357071	-0.00389264	0.000207119	-2.08594e-05	0.000659955	0	2.67564e-05	-4.32812e-05	-0.00342289	-0.00138046	0.000910716
0.069	-62.7003	-0.00196468	-0.00079794	-0.00239007	0.00223045	0.00169567	-0.00326331	0.00357441	-0.00388259	0.000207395	-2.06365e-05	0.000659957	0	2.69108e-05	-4.32273e-05	-0.00341967	-0.00137916	0.00091625
0.07	-62.5811	-0.00204362	-0.000816455	-0.00237533	0.00226669	0.0017223	-0.00322206	0.00357789	-0.00387263	0.000207668	-2.04157e-05	0.000659959	0	2.70635e-05	-4.31738e-05	-0.00341649	-0.00137788	0.000921733
0.071	-62.4629	-0.00212452	-0.00083523	-0.00236071	0.00230311	0.001749	-0.00318118	0.00358118	-0.00386276	0.000207939	-2.01969e-05	0.000659961	0	2.72147e-05	-4.31206e-05	-0.00341333	-0.0013766	0.000927168
0.072	-62.3457	-0.00220746	-0.000854278	-0.00234621	0.0023397	0.00177577	-0.00314065	0.00358427	-0.00385297	0.000208206	-1.99799e-05	0.000659963	0	2.73646e-05	-4.30678e-05	-0.0034102	-0.00137533	0.00093256
0.073	-62.2293	-0.00229249	-0.00087361	-0.00233182	0.00237649	0.00180262	-0.00310042	0.00358717	-0.00384325	0.000208471	-1.97647e-05	0.000659965	0	2.75131e-05	-4.30153e-05	-0.00340709	-0.00137408	0.000937913
0.074	-62.1137	-0.00237971	-0.000893243	-0.00231753	0.0024135	0.00182958	-0.00306048	0.00358989	-0.0038336	0.000208734	-1.95509e-05	0.000659967	0	2.76606e-05	-4.2963e-05	-0.003404	-0.00137283	0.000943229
0.075	-61.9988	-0.00246919	-0.000913191	-0.00230333	0.00245075	0.00185665	-0.0030208	0.00359244	-0.003824	0.000208994	-1.93385e-05	0.000659969	0	2.78069e-05	-4.29109e-05	-0.00340093	-0.00137159	0.000948514
0.076	-61.8846	-0.00256103	-0.00093347	-0.00228921	0.00248827	0.00188383	-0.00298134	0.00359482	-0.00381445	0.000209253	-1.91274e-05	0.000659971	0	2.79524e-05	-4.28591e-05	-0.00339787	-0.00137035	0.000953771
0.077	-61.7708	-0.00265535	-0.0009541	-0.00227516	0.00252609	0.00191116	-0.00294209	0.00359703	-0.00380495	0.000209511	-1.89172e-05	0.000659973	0	2.80971e-05	-4.28075e-05	-0.00339483	-0.00136912	0.000959004
0.078	-61.6574	-0.00275226	-0.0009751	-0.00226117	0.00256422	0.00193864	-0.00290299	0.0035991	-0.00379548	0.000209766	-1.8708e-05	0.000659975	0	2.8241e-05	-4.2756e-05	-0.0033918	-0.0013679	0.000964218
0.079	-61.5444	-0.00285189	-0.000996491	-0.00224723	0.00260269	0.00196628	-0.00286404	0.003601	-0.00378604	0.000210021	-1.84994e-05	0.000659977	0	2.83844e-05	-4.27046e-05	-0.00338878	-0.00136668	0.000969415
0.08	-61.4317	-0.0029544	-0.0010183	-0.00223333	0.00264155	0.00199411	-0.0028252	0.00360276	-0.00377663	0.000210274	-1.82914e-05	0.000659978	0	2.85274e-05	-4.26534e-05	-0.00338577	-0.00136546	0.000974601
0.081	-61.3191	-0.00305995	-0.00104054	-0.00221946	0.00268081	0.00202214	-0.00278643	0.00360438	-0.00376722	0.000210527	-1.80838e-05	0.00065998	0	2.867e-05	-4.26022e-05	-0.00338276	-0.00136425	0.00097978
0.082	-61.2066	-0.00316872	-0.00106325	-0.00220561	0.00272052	0.00205039	-0.0027477	0.00360585	-0.00375782	0.000210779	-1.78763e-05	0.000659982	0	2.88125e-05	-4.2551e-05	-0.00337975	-0.00136303	0.000984956
0.083	-61.094	-0.00328092	-0.00108646	-0.00219177	0.00276071	0.00207887	-0.00270898	0.00360719	-0.00374842	0.000211031	-1.76688e-05	0.000659984	0	2.89549e-05	-4.24998e-05	-0.00337674	-0.00136182	0.000990134
0.084	-60.9813	-0.00339678	-0.0011102	-0.00217792	0.00280143	0.00210763	-0.00267024	0.00360839	-0.00373901	0.000211282	-1.74612e-05	0.000659986	0	2.90974e-05	-4.24485e-05	-0.00337373	-0.0013606	0.000995318
0.085	-60.8684	-0.00351655	-0.00113451	-0.00216406	0.00284272	0.00213666	-0.00263144	0.00360945	-0.00372957	0.000211534	-1.72532e-05	0.000659988	0	2.92401e-05	-4.23972e-05	-0.00337071	-0.00135938	0.00100051
0.086	-60.755	-0.00364051	-0.00115942	-0.00215017	0.00288463	0.00216601	-0.00259253	0.00361038	-0.00372011	0.000211786	-1.70445e-05	0.00065999	0	2.93832e-05	-4.23458e-05	-0.00336768	-0.00135815	0.00100573
0.087	-60.6412	-0.00376898	-0.00118498	-0.00213623	0.0029272	0.00219569	-0.00255349	0.00361118	-0.0037106	0.000212038	-1.68351e-05	0.000659992	0	2.95268e-05	-4.22942e-05	-0.00336464	-0.00135693	0.00101096
0.088	-60.5268	-0.00390232	-0.00121124	-0.00212224	0.00297051	0.00222574	-0.00251426	0.00361185	-0.00370104	0.000212291	-1.66246e-05	0.000659994	0	2.96712e-05	-4.22425e-05	-0.00336158	-0.00135569	0.00101622
0.089	-60.4116	-0.00404094	-0.00123824	-0.00210818	0.0030146	0.00225618	-0.00247481	0.00361238	-0.00369142	0.000212546	-1.64128e-05	0.000659996	0	2.98164e-05	-4.21904e-05	-0.0033585	-0.00135445	0.00102152
0.09	-60.2956	-0.00418528	-0.00126605	-0.00209404	0.00305956	0.00228706	-0.00243508	0.00361278	-0.00368173	0.000212802	-1.61994e-05	0.000659998	0	2.99627e-05	-4.21381e-05	-0.0033554	-0.00135319	0.00102686
0.091	-60.1785	-0.00433585	-0.00129474	-0.00207979	0.00310544	0.0023184	-0.00239502	0.00361305	-0.00367195	0.00021306	-1.59842e-05	0.00066	0	3.01103e-05	-4.20855e-05	-0.00335227	-0.00135193	0.00103225
0.092	-60.0602	-0.00449325	-0.00132437	-0.00206541	0.00315235	0.00235026	-0.00235459	0.00361318	-0.00366206	0.00021332	-1.57668e-05	0.000660002	0	3.02595e-05	-4.20324e-05	-0.0033491	-0.00135065	0.00103769
