T	V	I_na	I_CaL	I_CaT	I_t	I_ss	I_f	I_k1	I_b	I_NaK	I_NCX	I_CaP	I_stim	I_f_K	I_f_Na	I_b_Na	I_b_Ca	I_b_K
1e-07	-80.5013	-1.28823e-06	-3.25357e-06	-0.0454646	5.0883e-05	4.44972e-06	-4.71754e-05	0.00175323	-0.00536939	0.0161782	-0.00553765	0.000659802	0	2.90991e-06	-5.00853e-05	-0.00389538	-0.00157142	9.74047e-05
0.0100001	-74.686	-1.74485e-05	-9.85933e-06	-0.0385237	0.000314923	2.53679e-05	-3.71413e-05	0.0203364	-0.00488374	0.0177553	-0.00435868	0.000660051	0	1.08886e-05	-4.80299e-05	-0.00374006	-0.00150861	0.000364922
0.0200001	-73.1924	-3.14254e-05	-1.32778e-05	-0.0366276	0.000428076	3.56222e-05	-3.45049e-05	0.0238018	-0.00475907	0.018148	-0.00406672	0.000660196	0	1.29108e-05	-4.74157e-05	-0.00370023	-0.00149248	0.000433632
0.0300001	-72.7717	-3.50085e-05	-1.44389e-05	-0.0359798	0.000464576	3.919e-05	-3.37078e-05	0.0246871	-0.00472402	0.0182565	-0.00398725	0.000660329	0	1.34559e-05	-4.71637e-05	-0.00368907	-0.00148793	0.000452984
0.0400001	-72.6692	-3.39913e-05	-1.47396e-05	-0.0357005	0.000473878	4.01278e-05	-3.34551e-05	0.0248971	-0.00471553	0.0182817	-0.00397019	0.000660458	0	1.35644e-05	-4.70195e-05	-0.00368641	-0.00148683	0.000457706
0.0500001	-72.6654	-3.1765e-05	-1.47541e-05	-0.0355357	0.000474305	4.01678e-05	-3.33714e-05	0.0249049	-0.0047153	0.0182811	-0.00397245	0.000660584	0	1.35378e-05	-4.69092e-05	-0.00368639	-0.00148679	0.000457881
0.0600001	-72.6927	-2.94561e-05	-1.4678e-05	-0.0354068	0.00047193	3.99203e-05	-3.33408e-05	0.0248495	-0.00471765	0.0182724	-0.00398076	0.000660708	0	1.34694e-05	-4.68102e-05	-0.0036872	-0.00148708	0.000456631
0.0700001	-72.7295	-2.73605e-05	-1.45745e-05	-0.0352894	0.0004687	3.95852e-05	-3.33268e-05	0.0247743	-0.00472081	0.0182612	-0.00399094	0.000660831	0	1.33883e-05	-4.67151e-05	-0.00368827	-0.00148748	0.000454938
0.0800001	-72.7692	-2.55254e-05	-1.44634e-05	-0.0351756	0.000465232	3.92264e-05	-3.33179e-05	0.0246929	-0.00472421	0.0182493	-0.00400165	0.000660952	0	1.33038e-05	-4.66217e-05	-0.00368941	-0.00148791	0.000453114
0.0900001	-72.8097	-2.39311e-05	-1.43512e-05	-0.035063	0.00046172	3.88636e-05	-3.33105e-05	0.0246096	-0.00472766	0.0182372	-0.0040125	0.000661072	0	1.32189e-05	-4.65293e-05	-0.00369058	-0.00148834	0.000451256
